OTU	apr13_E_73	apr13_H2O_75	apr13_W_74	apr20_E_82	apr20_H2O_84	apr20_W_83	apr27_H2O_93	apr27_W_92	apr5_E_64	apr5_H2O_66	apr5_W_65	aug3_E_184	aug3_H2O_186	aug3_W_185	jul20_E_175	jul20_H2O_177	jul20_W_176	jul7_E_166	jul7_H2O_168	jul7_W_167	jun1_E_136	jun1_H2O_138	jun1_W_137	jun21_E_157	jun21_H2O_159	jun21_W_158	jun7_E_148	jun7_H2O_150	jun7_W_149	mar15_W_38	mar24_E_46	mar24_H2O_48	mar24_W_47	mar30_E_55	mar30_H2O_57	mar30_W_56	may10_E_109	may10_H2O_111	may10_W_110	may18_E_118	may18_H2O_120	may18_W_119	may25_E_127	may25_H2O_129	may25_W_128	may5_E_100	may5_W_101
ASV252	0	0	0	0	42	0	0	0	0	0	0	18	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV253	58	0	0	0	0	0	0	31	160	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	107	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV254	0	0	0	140	0	93	11	106	26	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	48	0	35	0	0
ASV255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV256	42	0	0	0	0	0	0	24	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	74	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV257	0	0	0	0	0	0	0	0	76	326	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV258	0	0	0	0	0	0	0	90	139	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	73	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV259	0	0	0	40	18	44	0	0	61	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0
ASV260	0	0	0	0	290	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV261	0	0	0	90	0	168	0	121	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0
ASV262	13	0	0	5	0	0	40	0	22	0	0	0	0	0	0	0	0	0	0	0	0	23	8	0	0	0	0	61	0	0	58	5	6	0	0	0	0	0	196	0	42	0	0	12	0	0	0
ASV263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	19	0	0	0	0	0	0	0	0	46	0	108	55	0	0	0	0	0	56	198
ASV264	0	0	0	0	261	0	0	0	0	29	0	0	0	0	0	0	0	0	0	116	0	0	32	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
ASV265	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV266	0	0	0	0	329	0	20	0	0	62	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ASV267	64	0	0	0	0	0	0	0	139	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	122	0	52	0	0	19	0	0	0	0	0	0	0	0	0	0	0
ASV268	0	13	0	14	0	49	0	168	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV269	0	0	0	0	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV270	0	0	0	0	221	0	19	0	0	30	0	0	0	26	0	0	4	125	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
