asv	aug3_E_184	aug3_H2O_186	aug3_W_185	jul20_E_175	jul20_H2O_177	jul7_E_166	jul7_H2O_168	jul7_W_167
710ecb4505ef3318c6df049aa439f507	0	0	0	0	18	0	0	0
e29f676da177554e5013d56793669bfd	0	0	0	0	0	0	0	0
fa19522f4a04124c8aeb8b8247645879	0	0	0	0	0	0	15	0
6598ffab6ef90f90ee7a86a9a16f5b82	0	0	0	43	0	0	0	0
6073febeabdbd40fcf17924a2e152926	0	0	0	0	0	0	0	0
970a0f4184a8820116f827e881f75110	0	0	0	6	0	10	7	8
878a35347f3e227d5ca7683772399708	0	0	0	0	1	12	18	0
f829f7dd05af5b9ae70b3cb07c41bb7a	0	0	0	0	0	0	6	0
5ab75def4e6aa82a790cbc92161365b1	13	0	0	0	0	0	0	0
3a56418c128a5c2113b6b94af584ca21	0	0	0	0	0	0	0	0
9c0e35aab9c3645fa3182513b254cc5d	0	0	0	0	44	0	0	0
54dd4aa26421356fd278e399d2603a0b	0	0	0	0	0	0	2	0
ccbef4f7fdf76aab7fed38193f0dbbb4	0	0	0	0	0	0	24	0
cd6b7936ba4c5252ce3773d276e695ac	0	0	0	0	0	0	0	0
c57c80b904fe1d31d276fe185494d61e	0	0	0	0	55	0	0	0
da95059d70300111c7e409ff878cd4b2	0	0	0	0	0	0	0	0
4e4ae9e7f5bb4a69d13620a178d74c04	0	0	0	0	0	0	0	0
d8afc147579e4912e2ee4c975e9374d2	0	0	0	0	0	0	0	0
72f19e4a71a7b7a9eaae18fef0a7b509	0	0	0	0	0	0	0	0
97ec2ec6d10f95240d3310c44fd3db1e	0	0	0	0	0	0	0	0
399fdcf9abac0d03b00f63e93edfd481	0	3	0	0	0	0	0	0
9c775120aef652d0ebfefa367692f9c1	0	0	4	30	0	0	0	0
835f49fc13f0f9a859af009937925151	0	0	0	0	0	0	0	24
a52fbbb649297c43a603cd22506cd9e7	0	0	0	0	0	0	0	0
a55c0f4fe077a95d784f11d613c7ac57	0	0	0	0	0	0	0	0
411dc3c2024aedcc3a2e98373cbfd904	0	0	0	0	0	0	8	0
b0c765a76a3bd24405f68a14ece65115	0	0	0	0	0	0	0	0
b3c35c04f4a0b80371156dd6483f1b25	0	0	0	0	15	0	0	0
3e51096079fef010c96d3d1c3d93a302	0	0	0	0	0	0	0	0
869675838f1756f60370351cfa029b05	0	0	0	0	0	0	0	0
1d3c6367e5f30af163aedf4e59eadeed	0	0	0	12	0	0	0	0
7491e559c46784c3c627e6d37ef33128	0	0	0	0	0	0	5	0
07d8d1545671fcbe90bfbecd0552c767	0	0	0	0	16	0	0	0
dcca180ea4c788f281ef90007ddbb882	0	0	0	0	0	0	0	0
7a53176307f0f04ba8ff4fed2cb4c274	0	0	0	0	0	7	0	0
32693189c9b57f4523ea52ed37c56f3a	0	0	0	0	0	0	0	0
c613f331cf39789e2b4cf12aa809ac30	0	0	0	0	0	0	0	3
6750c6f1b2e9b5eb18c01044ef04b255	0	0	0	2	0	0	0	0
b708275c3105741a969f2b1d91eee3af	0	0	0	0	0	0	0	0
6cd8319c6946505cf0dd7ba3101ca336	0	0	0	0	0	0	0	0
d71646d454f76e1aef54ae0da4e0f01a	0	0	0	0	0	0	0	0
f5e86a9841f8fb6613b42e1df9d229fa	6	0	0	0	0	0	0	0
64b9e03a0212b6329740bdb020669889	0	0	8	0	0	0	3	0
c931b5b3c970964334341007cd402e96	0	0	0	0	0	0	0	0
6e62698c5e7896acb3a16c75c2adec1e	0	0	0	0	0	0	6	0
38abf872c874e6d8100b4ef46b8c40fd	0	0	0	0	0	0	0	0
951da216cb3423c01f473555ea9e8128	0	0	0	0	0	0	0	0
509ace08b5aa48a88deb5bdad25845d3	0	0	0	0	0	0	7	0
d9f8ab9eab576c318fe0b1eb43da07ed	0	0	0	0	0	0	2	0
8900780275e350936a795ffde79879d5	0	0	0	0	0	0	0	0
3ee42b2263827ef0cb35c3a525005617	0	0	0	0	0	0	0	0
307e30fc4ade482047b5460bc259786e	0	0	0	0	0	0	0	0
349a635ea622db56824934499ab10052	0	0	0	0	0	0	0	0
f4354a66d0a2738963b137ed5287cb37	0	0	0	0	0	0	0	0
76a5de16dfe2c7ea1ea2b07fe440856b	0	0	0	0	0	0	0	0
0c34338dfac6da1a338833f8c163fe16	0	0	0	0	0	0	0	0
784833580054b0b8670ff0d1642746ee	0	0	0	0	0	0	0	0
a374682230a829573120efb75d1bd96b	0	0	0	0	0	0	1	0
0ed2e810f88dd9a532e34fef3097f56a	0	0	0	0	0	0	0	0
2d3181c6a21fd8774c7e24773f5d5e05	0	0	0	0	0	0	0	0
c6c1e4b5e6be7d0464c5632b61783418	0	0	0	0	0	0	0	0
1ded7b3ea35d5ee270110b832d3dc84c	0	0	0	0	0	0	0	0
eceddaca443bec367cef72b93e49d8f3	0	0	0	0	4	0	0	0
1b0ee00b00aab7891e4c025707e01e77	0	0	0	0	0	0	0	0
ASV8	51	0	0	0	0	0	0	0
ASV9	1081	40	101	1064	42	527	40	5
ASV12	93	77	210	3	174	44	110	14
ASV17	455	18	0	0	150	0	0	0
ASV23	297	0	0	0	15	107	0	7
ASV27	21	3	0	390	27	58	105	61
ASV30	0	0	0	1402	0	0	0	0
ASV31	0	3	8	0	17	0	34	2299
ASV32	0	0	0	0	0	0	0	0
ASV33	12	0	0	0	0	8	0	1
ASV36	0	0	0	0	0	0	0	0
ASV44	0	0	0	0	0	0	0	0
ASV45	18	133	21	0	8	0	12	0
ASV55	300	20	20	0	0	0	0	79
ASV57	0	0	0	0	0	0	12	0
ASV58	470	4	1	27	24	24	0	0
ASV66	16	5	0	158	16	100	40	18
ASV74	0	0	0	3	1	0	0	0
ASV76	0	0	0	417	0	0	0	0
ASV77	0	30	0	0	8	0	0	35
ASV81	13	1	0	0	0	0	4	7
ASV87	41	0	0	0	0	0	0	0
ASV88	0	0	0	0	0	0	0	0
ASV94	0	30	0	0	20	0	0	1
ASV98	2	0	0	0	0	0	0	0
ASV100	4	0	0	42	0	0	0	0
ASV104	6	2	0	0	0	0	0	0
ASV106	0	0	0	0	0	0	0	0
ASV109	0	0	1	0	0	0	0	0
ASV111	17	0	0	0	0	0	0	0
ASV117	0	0	0	250	0	0	0	0
ASV119	0	0	0	19	0	23	0	2
ASV122	0	0	0	0	0	0	0	0
ASV133	0	0	0	0	0	68	0	0
ASV142	0	2	0	50	0	0	0	0
ASV154	0	0	0	0	0	0	0	0
ASV159	0	0	0	0	56	43	227	0
ASV178	0	2	0	0	236	0	0	0
ASV195	0	28	0	0	54	0	26	0
ASV199	0	0	0	0	0	0	0	0
ASV217	29	0	33	0	0	0	0	33
ASV227	0	7	0	24	83	0	0	0
ASV231	0	7	0	4	73	0	20	0
ASV242	0	4	0	0	28	0	0	0
ASV243	0	0	0	27	0	0	0	0
ASV249	0	0	0	77	0	0	0	0
ASV268	0	0	0	0	0	0	0	0
ASV273	0	5	0	0	0	0	0	3
ASV275	0	2	9	0	35	0	0	0
ASV281	0	0	0	49	0	0	0	0
ASV288	0	0	0	0	0	317	0	6
ASV292	0	0	0	0	0	0	0	0
ASV293	0	4	0	12	27	0	0	14
ASV294	0	0	0	0	0	0	0	0
ASV298	13	0	2	1	0	0	0	0
ASV304	0	0	0	0	0	0	0	0
ASV308	0	1	0	3	0	0	0	0
ASV323	0	0	5	0	0	0	0	0
ASV328	5	0	0	0	0	0	39	0
ASV344	0	0	0	2	9	0	0	0
ASV347	2	0	0	0	0	0	0	0
ASV352	0	0	0	27	0	0	0	0
ASV392	0	0	0	7	43	0	0	0
ASV393	0	0	0	0	0	64	0	0
ASV394	0	0	0	0	0	35	0	0
ASV414	2	0	0	0	0	120	0	0
ASV420	0	0	0	0	0	0	12	0
ASV423	30	0	0	5	0	0	0	0
ASV427	0	0	0	0	0	0	0	0
ASV431	0	0	0	0	22	0	0	0
ASV433	0	0	0	0	0	0	0	0
ASV444	0	0	0	0	0	66	0	0
ASV448	0	1	0	0	0	0	0	0
ASV481	0	0	0	0	0	0	0	0
ASV488	0	0	0	0	0	0	0	0
ASV489	0	0	0	0	0	136	0	0
ASV492	0	0	0	0	0	0	0	0
ASV504	0	0	0	0	0	0	0	0
ASV506	0	0	0	0	0	0	0	0
ASV526	0	0	0	0	17	0	0	0
ASV529	0	0	0	0	0	0	0	0
ASV532	0	0	0	0	0	116	0	0
ASV560	0	0	0	0	16	0	0	0
ASV570	0	0	0	3	0	0	0	0
ASV571	0	0	0	0	0	0	0	0
ASV576	0	0	0	0	0	0	0	0
ASV577	0	0	0	0	0	0	0	0
ASV602	0	0	0	0	0	0	0	0
ASV623	0	0	0	0	0	0	0	0
ASV629	0	0	0	0	0	86	0	0
ASV633	0	0	0	5	0	0	0	0
ASV634	0	0	0	0	0	0	0	0
ASV636	0	0	0	0	0	0	0	0
ASV637	0	0	0	2	18	0	0	0
ASV650	0	0	0	0	0	85	0	0
ASV667	0	0	0	0	0	0	11	0
ASV670	0	0	0	0	0	0	0	0
ASV709	0	0	12	0	0	0	0	0
ASV713	0	0	0	0	0	0	0	9
ASV738	0	0	0	0	0	0	0	0
